"P.13 Em uma escala de 0 a 10, onde 0 significa nenhuma chance de acontecer
e 10 muita chance de acontecer, qual a chance de:
(Resposta estimulada e única, em %)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,SEXO,,IDADE,,,,,ESCOLARIDADE,,,RENDA FAMILIAR MENSAL,,,,OCUPAÇÃO PRINCIPAL,,COR,,,MORA EM COMUNIDADE,
,,,,,Mascu- lino,Femi- nino,16 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 59 anos,60 anos ou mais,Funda- mental,Médio,Supe- rior,Até 2 S.M.,Mais de 2 a 5 S.M,Mais de 5 a 10 S.M.,Mais de 10 S.M.,PEA,NÃO PEA,Parda,Branca,Preta,Sim,Não
,,6,,5,6,4,8,7,4,2,5,5,3,7,3,7,4,8,5,5,3,5,8,6,4
,,7,,5,5,5,6,5,4,7,4,4,4,8,4,6,7,4,6,4,6,6,4,5,5
,,8,,9,9,8,5,9,15,7,7,6,8,12,6,10,10,15,9,7,8,10,7,8,9
,,9,,4,4,5,5,6,2,5,5,5,5,3,4,5,5,4,4,5,5,6,2,5,4
,R10,Muita chance de acontecer (10),,26,18,33,13,23,23,33,32,36,25,19,30,25,23,17,26,27,26,25,26,28,25
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13K,,MÉDIA,,5.2,5.2,5.2,5.2,5.9,5.1,5.4,4.6,5.7,5.3,4.6,5.4,5.4,4.6,4.7,5.4,4.9,5.6,4.8,5.2,6.2,4.7
"SER VÍTIMA DE VIOLÊNCIA POR PARTE DA POLÍCIA MILITAR, AQUELA QUE EXECUTA O POLICIAMENTO FARDADO E OSTENSIVO NAS RUAS NO PRÓXIMO MÊS?",R11,Nenhuma chance de acontecer (0),,19,17,21,19,12,20,16,29,21,19,19,22,16,19,15,16,26,17,22,20,15,22
,,1,,4,5,3,2,3,5,4,5,2,4,6,2,3,8,9,5,2,3,5,3,2,5
,,2,,6,6,6,2,6,4,7,7,6,3,8,5,5,7,11,6,4,7,5,4,4,7
,,3,,8,9,6,8,7,8,6,9,5,8,9,5,8,10,11,7,8,7,9,8,6,9
,,4,,4,3,5,7,5,3,4,3,3,5,4,5,4,7,2,4,4,4,4,5,4,4
,,5,,15,14,15,18,16,16,15,10,11,16,16,15,15,11,9,15,13,13,13,17,15,15
,,6,,5,6,4,7,5,4,5,3,3,4,7,3,5,6,8,5,5,4,6,5,4,5
,,7,,6,5,6,11,6,4,8,1,4,8,5,4,8,6,4,5,7,5,6,5,5,6
,,8,,8,9,7,4,9,9,8,8,6,9,8,7,9,8,9,8,8,10,6,8,7,8
,,9,,4,4,5,7,6,4,4,3,4,4,5,4,5,6,4,5,4,5,4,5,7,3
,R11,Muita chance de acontecer (10),,22,22,23,16,26,22,22,24,34,21,14,27,22,14,17,23,20,25,20,21,32,17
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13L,,MÉDIA,,4.5,4.3,4.7,4.8,4.5,4.1,4.7,4.4,5.1,4.7,3.6,4.9,4.6,3.5,3.9,4.5,4.6,4.7,4.1,4.8,5.4,4.0
"SER VÍTIMA DE VIOLÊNCIA POR PARTE DA POLÍCIA CIVIL, AQUELA QUE ATUA INVESTIGANDO CRIMES E REGISTRA OCORRÊNCIA NAS DELEGACIAS NO PRÓXIMO MÊS?",R12,Nenhuma chance de acontecer (0),,22,22,22,16,21,22,20,28,24,21,21,22,19,26,21,21,24,20,24,21,18,24
,,1,,7,8,5,4,7,8,6,7,4,5,12,5,7,9,11,7,6,7,7,5,4,8
,,2,,9,8,9,8,7,9,11,8,7,8,11,8,9,12,9,9,7,9,11,5,7,10
,,3,,8,8,8,11,5,9,6,8,8,7,9,6,8,10,10,7,9,8,7,9,5,9
,,4,,4,5,3,5,6,5,4,2,3,4,5,3,5,4,6,4,4,4,6,4,5,4
,,5,,16,15,16,18,21,15,15,11,10,17,18,15,16,16,19,17,13,14,15,17,14,16
,,6,,4,4,4,4,5,4,5,2,3,5,5,4,4,5,2,4,3,5,4,3,4,4
,,7,,5,5,5,6,4,5,7,3,5,7,3,5,6,5,2,5,6,7,3,7,6,5
,,8,,6,6,6,7,5,8,4,6,4,8,5,6,6,4,10,6,6,6,5,8,7,6
,,9,,4,3,4,7,4,3,2,3,5,4,2,3,5,3,2,3,5,4,3,3,5,3
,R12,Muita chance de acontecer (10),,17,14,19,13,15,11,20,21,28,16,8,23,14,7,9,16,18,18,15,18,25,12
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13M,,MÉDIA,,7.3,6.7,7.7,7.9,7.6,7.9,7.5,5.8,6.5,7.5,7.5,6.8,7.6,7.7,7.3,7.5,6.8,7.3,7.4,7.3,7.3,7.2
TER O CELULAR FURTADO OU ROUBADO NO PRÓXIMO MÊS?,R13,Nenhuma chance de acontecer (0),,9,9,9,2,5,5,6,22,18,7,4,14,5,5,4,7,14,8,8,9,10,9
,,1,,2,2,1,1,1,1,2,2,1,1,3,1,2,1,4,2,1,1,2,1,2,2
,,2,,2,3,2,1,1,2,3,5,3,3,2,2,2,4,4,2,3,2,2,2,3,2
,,3,,3,3,2,2,3,1,3,4,4,2,3,3,2,1,4,2,3,2,3,2,2,3
,,4,,4,5,2,4,4,4,3,3,4,2,5,4,3,3,6,3,4,3,4,5,3,4
,,5,,10,12,8,9,10,9,11,11,10,12,7,11,12,5,6,10,11,11,9,9,8,11
,,6,,4,5,3,6,6,3,2,2,2,4,4,3,5,2,6,3,4,3,4,5,4,3
,,7,,6,7,5,7,6,8,4,5,5,6,7,4,6,10,2,6,4,7,4,8,6,6
,,8,,11,12,10,12,11,11,13,7,6,10,16,5,12,18,23,12,8,10,13,9,10,11
,,9,,8,7,9,13,10,9,7,3,5,8,10,9,6,8,9,9,6,10,7,7,8,8
,R13,Muita chance de acontecer (10),,43,34,50,41,44,48,46,36,42,46,39,43,45,42,34,43,41,41,45,44,45,42
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13N,,MÉDIA,,4.8,4.8,4.9,4.6,5.1,5.0,5.1,4.4,4.9,5.0,4.5,5.0,5.0,4.4,4.4,5.1,4.4,5.0,4.6,4.9,5.2,4.6
TER OS SEUS CONTEÚDOS PESSOAIS DIVULGADOS NA INTERNET NO PRÓXIMO MÊS?,R14,Nenhuma chance de acontecer (0),,22,21,23,18,15,20,22,31,32,21,15,27,19,18,17,20,27,21,23,23,23,22
,,1,,5,6,4,4,8,4,4,5,2,4,8,2,5,8,11,5,5,5,6,3,3,6
,,2,,8,9,7,10,5,10,8,7,5,7,12,7,8,12,11,7,9,9,9,5,7,9
,,3,,7,6,7,8,8,4,6,7,6,5,9,5,6,9,7,6,7,5,7,10,5,7
,,4,,4,5,3,5,6,7,3,2,2,5,5,3,5,4,4,4,4,5,2,5,4,4
,,5,,12,13,12,16,15,12,12,10,6,13,17,10,14,14,13,13,11,13,13,10,12,13
,,6,,5,5,5,8,5,4,4,5,4,6,4,4,6,3,8,5,4,4,4,8,6,4
,,7,,5,7,4,9,7,5,6,2,3,7,6,4,6,9,2,6,3,5,6,5,5,6
,,8,,7,5,8,1,8,10,8,7,6,7,8,6,7,7,9,8,5,6,9,7,7,7
,,9,,3,3,3,4,5,3,3,1,4,4,2,4,3,3,,4,2,5,3,1,5,2
,R14,Muita chance de acontecer (10),,21,20,23,16,19,21,25,24,29,21,15,26,20,14,17,21,22,23,18,23,26,19
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13O,,MÉDIA,,4.4,4.1,4.6,4.3,4.8,4.5,4.4,4.0,4.8,4.7,3.5,4.6,4.5,3.6,3.3,4.4,4.3,4.6,3.8,4.8,5.2,3.9
TER PARENTES ENVOLVIDOS COM DROGAS NO PRÓXIMO MÊS?,R15,Nenhuma chance de acontecer (0),,28,27,28,22,20,25,30,36,32,24,28,32,21,33,28,27,29,25,32,24,24,29
,,1,,5,5,5,6,3,6,5,5,3,5,7,3,6,7,8,4,6,5,5,5,3,6
,,2,,8,11,6,14,7,7,8,7,6,7,12,6,10,10,17,8,8,8,9,8,6,10
,,3,,7,8,6,9,6,6,6,7,5,6,10,4,8,9,4,6,8,6,8,6,4,8
