cod;nome;período;valor
28;SE;1996;14.65
41;PR;1996;15.32
35;SP;1996;36.11
33;RJ;1996;59.93
32;ES;1996;42.49
29;BA;1996;15.01
11;RO;1996;24.49
12;AC;1996;21.51
13;AM;1996;18.83
16;AP;1996;41.37
17;TO;1996;12.02
25;PB;1996;19.24
26;PE;1996;40.84
27;AL;1996;28.14
53;DF;1996;33.76
52;GO;1996;17.32
51;MT;1996;29.52
50;MS;1996;37.45
23;CE;1996;13
22;PI;1996;4.38
21;MA;1996;6.95
15;PA;1996;12.7
14;RR;1996;43.3
43;RS;1996;15.38
52;GO;1997;16.04
42;SC;1997;8.53
31;MG;1997;7.97
24;RN;1997;9.06
22;PI;1997;5.27
21;MA;1997;6.29
41;PR;1997;17.29
35;SP;1997;36.08
33;RJ;1997;58.68
32;ES;1997;49.63
29;BA;1997;15.59
28;SE;1997;11.47
27;AL;1997;24.11
26;PE;1997;49.73
25;PB;1997;14.77
23;CE;1997;14.83
17;TO;1997;10.36
16;AP;1997;34.83
15;PA;1997;13.34
14;RR;1997;35.36
13;AM;1997;19.02
12;AC;1997;19.99
11;RO;1997;28.28
43;RS;1997;16.88
50;MS;1997;37.11
51;MT;1997;33.48
53;DF;1997;32.66
32;ES;1998;57.85
29;BA;1998;9.89
31;MG;1998;8.84
42;SC;1998;8.23
28;SE;1998;10.39
27;AL;1998;21.65
26;PE;1998;58.79
25;PB;1998;13.57
23;CE;1998;13.49
24;RN;1998;8.46
52;GO;1998;14.84
51;MT;1998;35.68
50;MS;1998;33.57
43;RS;1998;15.45
22;PI;1998;5.16
21;MA;1998;5.19
14;RR;1998;51.4
12;AC;1998;21.4
41;PR;1998;17.55
35;SP;1998;39.64
33;RJ;1998;55.35
11;RO;1998;38.71
13;AM;1998;21.18
15;PA;1998;13.42
16;AP;1998;38.02
17;TO;1998;11.64
53;DF;1998;32.91
11;RO;1999;33.31
50;MS;1999;28.18
43;RS;1999;15.37
27;AL;1999;20.42
28;SE;1999;19.21
32;ES;1999;51.87
35;SP;1999;44.01
33;RJ;1999;52.59
51;MT;1999;34.6
12;AC;1999;9.66
21;MA;1999;4.84
22;PI;1999;4.86
24;RN;1999;8.44
52;GO;1999;17.59
53;DF;1999;33.45
29;BA;1999;7.03
31;MG;1999;9.23
41;PR;1999;18.2
42;SC;1999;7.55
26;PE;1999;55.63
25;PB;1999;11.94
23;CE;1999;15.53
17;TO;1999;12.07
16;AP;1999;43.66
15;PA;1999;10.91
14;RR;1999;57.69
13;AM;1999;20.42
17;TO;2000;15.15
13;AM;2000;20.9
16;AP;2000;34
21;MA;2000;6.42
22;PI;2000;8.35
24;RN;2000;9.57
29;BA;2000;9.46
42;SC;2000;8.38
11;RO;2000;35.37
12;AC;2000;19.56
14;RR;2000;47.59
15;PA;2000;13.42
23;CE;2000;17.19
25;PB;2000;14.92
26;PE;2000;56.17
27;AL;2000;26.55
28;SE;2000;23.55
31;MG;2000;12.06
32;ES;2000;48.14
33;RJ;2000;52.75
35;SP;2000;42.89
41;PR;2000;18.85
43;RS;2000;16.55
50;MS;2000;31.64
51;MT;2000;40.92
53;DF;2000;34.07
52;GO;2000;21.9
11;RO;2001;40.7
21;MA;2001;9.82
22;PI;2001;9.12
28;SE;2001;28.5
42;SC;2001;8.75
51;MT;2001;38
53;DF;2001;33.04
52;GO;2001;22.81
50;MS;2001;29.42
43;RS;2001;17.98
41;PR;2001;21.17
35;SP;2001;41.92
33;RJ;2001;50.57
32;ES;2001;46.02
31;MG;2001;13.05
29;BA;2001;12.27
27;AL;2001;29.06
26;PE;2001;58.81
25;PB;2001;13.95
24;RN;2001;11.44
23;CE;2001;17.01
17;TO;2001;17.89
16;AP;2001;36.49
15;PA;2001;15.23
14;RR;2001;32.02
13;AM;2001;16.72
12;AC;2001;21.07
22;PI;2002;10.63
51;MT;2002;36.4
29;BA;2002;13.2
11;RO;2002;42.95
12;AC;2002;25.73
13;AM;2002;17.32
14;RR;2002;35.17
15;PA;2002;18.47
16;AP;2002;35.04
17;TO;2002;14.08
21;MA;2002;10.44
23;CE;2002;18.88
24;RN;2002;10.48
25;PB;2002;17.37
26;PE;2002;54.37
27;AL;2002;34.32
28;SE;2002;30.12
31;MG;2002;16.32
32;ES;2002;51.35
33;RJ;2002;56.61
35;SP;2002;38.05
41;PR;2002;23.13
42;SC;2002;10.58
43;RS;2002;18.37
50;MS;2002;31.95
52;GO;2002;26.29
53;DF;2002;29.87
51;MT;2003;34.25
26;PE;2003;55.34
27;AL;2003;35.61
28;SE;2003;25.02
29;BA;2003;16.12
31;MG;2003;20.85
32;ES;2003;50.12
33;RJ;2003;54.54
35;SP;2003;36.29
41;PR;2003;25.79
42;SC;2003;11.95
50;MS;2003;32.49
25;PB;2003;17.51
43;RS;2003;18.15
53;DF;2003;33.88
52;GO;2003;25.37
11;RO;2003;38.88
12;AC;2003;24.48
13;AM;2003;18.41
14;RR;2003;29.67
15;PA;2003;21.37
16;AP;2003;34.59
17;TO;2003;16.58
21;MA;2003;13.54
22;PI;2003;10.19
23;CE;2003;20.15
24;RN;2003;14.02
28;SE;2004;23.86
11;RO;2004;38.04
27;AL;2004;35.11
26;PE;2004;50.66
25;PB;2004;19.06
24;RN;2004;11.77
23;CE;2004;20.12
22;PI;2004;11.09
21;MA;2004;12.32
15;PA;2004;22.69
14;RR;2004;23.12
13;AM;2004;16.97
12;AC;2004;18.56
53;DF;2004;31.16
52;GO;2004;28.21
51;MT;2004;31.62
50;MS;2004;29.84
43;RS;2004;18.67
17;TO;2004;15.8
16;AP;2004;31.1
42;SC;2004;11.22
41;PR;2004;28.22
35;SP;2004;28.89
33;RJ;2004;51.43
32;ES;2004;49.08
31;MG;2004;22.84
29;BA;2004;16.69
26;PE;2005;51.46
